"Find","Qty","Ref Des","Part Number"
"1","2","C1, C2","[https://www.mouser.com/ProductDetail/TDK/FG18X7R1H473KNT06?qs=qf2ddTMq67Ua7q%2FdN4IhqA%3D%3D 0.1uF]"
"2","1","D1","BAT41"
"3","6","J1, J2, J3, J4, J5, J6","PJ398SM"
"4","2","J7, J8","PJ366ST"
"5","1","J9","Conn_01x04"
"6","1","J12","Conn_01x10"
"7","1","Q1","[https://www.onsemi.com/pub/Collateral/2N3903-D.PDF 2N3904]"
"8","7","R1, R2, R3, R4, R8, R11, R12","220"
"9","4","R5, R6, R7, R13","1K"
"10","1","R9","680"
"11","1","R10","4.7K"
"12","1","RV1","R_Pot_CW"
"13","1","U5","[http://www.onsemi.com/pub/Collateral/HCPL2731-D.pdf 6N138]"
